ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	586
3	1	2	1
10	1	4	16
5	2	2	184
4	3	1	59
8	3	2	88
12	3	3	306
15	3	4	5
7	4	1	6
11	4	2	61
16	4	4	396

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	586	0	59	6	651
2	1	184	88	61	334
3	0	0	306	0	306
4	16	0	5	396	417
Total	603	184	458	463	1708

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.1917	0.0000	0.0193	0.0020	898882200.0000	0.2129
2	0.0013	0.2428	0.1161	0.0805	1860445800.0000	0.4407
3	0.0000	0.0000	0.0063	0.0000	26388900.0000	0.0063
4	0.0130	0.0000	0.0041	0.3229	1435484700.0000	0.3401
Total	0.2061 	0.2428 	0.1458 	0.4054 	4221201600.0000 
Area	869780804	1024916249	615243798	1711260750	4221201600
SE	0.0043	0.0120	0.0111	0.0101
SE area	18042062	50711094	46670869	42424935
95% CI area	35362442	99393744	91474902	83152873
PA  [%]	93.0271	100.0000	4.2892	79.6602
UA  [%]	90.0154	55.0898	100.0000	94.9640
Kappa hat	0.8742	0.4069	1.0000	0.9153

Overall accuracy [%] = 76.3676
Kappa hat classification = 0.6673

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
