ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	1368
5	2	2	2808
9	2	3	95
13	2	4	58
4	3	1	162
8	3	2	281
12	3	3	555
15	3	4	37
7	4	1	12
11	4	2	26
16	4	4	648

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	1368	0	162	12	1542
2	0	2808	281	26	3115
3	0	95	555	0	650
4	0	58	37	648	743
Total	1368	2961	1035	686	6050

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.2232	0.0000	0.0264	0.0020	1062222300.0000	0.2516
2	0.0000	0.2809	0.0281	0.0026	1315159200.0000	0.3116
3	0.0000	0.0010	0.0061	0.0000	30092400.0000	0.0071
4	0.0000	0.0335	0.0214	0.3747	1813727700.0000	0.4297
Total	0.2232 	0.3154 	0.0820 	0.3793 	4221201600.0000 
Area	942360640	1331524360	346248600	1601068001	4221201600
SE	0.0020	0.0045	0.0043	0.0053
SE area	8561451	19198626	18010669	22464005
95% CI area	16780445	37629307	35300911	44029449
PA  [%]	100.0000	89.0365	7.4208	98.7981
UA  [%]	88.7160	90.1445	85.3846	87.2140
Kappa hat	0.8547	0.8560	0.8408	0.7940

Overall accuracy [%] = 88.4919
Kappa hat classification = 0.8313

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
