ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	415
2	2	1	2
5	2	2	1348
13	2	4	16
4	3	1	29
8	3	2	111
12	3	3	821
7	4	1	123
11	4	2	5
16	4	4	403

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	415	2	29	123	569
2	0	1348	111	5	1464
3	0	0	821	0	821
4	0	16	0	403	419
Total	415	1366	961	531	3273

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.1835	0.0009	0.0128	0.0544	1062224100.0000	0.2516
2	0.0000	0.2869	0.0236	0.0011	1315159200.0000	0.3116
3	0.0000	0.0000	0.0071	0.0000	30092400.0000	0.0071
4	0.0000	0.0164	0.0000	0.4133	1813725900.0000	0.4297
Total	0.1835 	0.3042 	0.0436 	0.4687 	4221201600.0000 
Area	774732867	1283945472	183945299	1978577962	4221201600
SE	0.0047	0.0046	0.0032	0.0059
SE area	19802231	19551358	13376326	25092959
95% CI area	38812373	38320662	26217599	49182200
PA  [%]	100.0000	94.3150	16.3594	88.1677
UA  [%]	72.9350	92.0765	100.0000	96.1814
Kappa hat	0.6685	0.8861	1.0000	0.9281

Overall accuracy [%] = 89.0800
Kappa hat classification = 0.8339

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
