ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	1368
2	2	1	38
5	2	2	2788
9	2	3	52
13	2	4	83
4	3	1	14
8	3	2	455
12	3	3	521
15	3	4	45
7	4	1	75
11	4	2	13
16	4	4	598

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	1368	38	14	75	1495
2	0	2788	455	13	3256
3	0	52	521	0	573
4	0	83	45	598	726
Total	1368	2961	1035	686	6050

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.1984	0.0055	0.0020	0.0109	915404400.0000	0.2169
2	0.0000	0.3022	0.0493	0.0014	1489860900.0000	0.3529
3	0.0000	0.0008	0.0080	0.0000	37041300.0000	0.0088
4	0.0000	0.0482	0.0261	0.3471	1778895000.0000	0.4214
Total	0.1984 	0.3567 	0.0855 	0.3594 	4221201600.0000 
Area	837640949	1505717886	360710385	1517132379	4221201600
SE	0.0016	0.0055	0.0044	0.0061
SE area	6603002	23237390	18470357	25754783
95% CI area	12941883	45545283	36201899	50479375
PA  [%]	100.0000	84.7248	9.3371	96.5809
UA  [%]	91.5050	85.6265	90.9250	82.3691
Kappa hat	0.8940	0.7766	0.9008	0.7248

Overall accuracy [%] = 85.5751
Kappa hat classification = 0.7875

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
