ErrMatrixCode	Reference	Classified	PixelSum
1	1	1	584
3	1	2	1
10	1	4	18
5	2	2	184
4	3	1	45
8	3	2	164
12	3	3	239
15	3	4	10
7	4	1	9
11	4	2	64
16	4	4	390

	> ERROR MATRIX (pixel count)
	> Reference
V_Classified	1	2	3	4	Total
1	584	0	45	9	638
2	1	184	164	64	413
3	0	0	239	0	239
4	18	0	10	390	418
Total	603	184	458	463	1708

	> AREA BASED ERROR MATRIX
	> Reference
V_Classified	1	2	3	4	Area	Wi
1	0.1786	0.0000	0.0138	0.0028	823488300.0000	0.1951
2	0.0011	0.2004	0.1787	0.0697	1899144900.0000	0.4499
3	0.0000	0.0000	0.0065	0.0000	27529200.0000	0.0065
4	0.0150	0.0000	0.0083	0.3251	1471039200.0000	0.3485
Total	0.1947 	0.2004 	0.2073 	0.3976 	4221201600.0000 
Area	821733263	846108139	874944419	1678415778	4221201600
SE	0.0042	0.0110	0.0113	0.0091
SE area	17817564	46503549	47820784	38542195
95% CI area	34922425	91146955	93728736	75542702
PA  [%]	91.7316	100.0000	3.1464	81.7736
UA  [%]	91.5361	44.5521	100.0000	93.3014
Kappa hat	0.8949	0.3065	1.0000	0.8888

Overall accuracy [%] = 71.0681
Kappa hat classification = 0.6047

Area unit = metre^2
SE = standard error
CI = confidence interval
PA = producer's accuracy
UA = user's accuracy
